,VisitID,Site.Name,Date,month,day,year,julian.day,prePost,cycle,Start.Time,End.Time,Total.Net.Sets,Total.Bats.Captured,Net.area,batsPUE,species,repro,bats,wns,wnsprop
1,1,A,5/21/2012,5,21,2012,140,3,1,20:53,1:15,3,8,270,0.000848176,EPFU,L,0,3,0.8
2,2,K,5/18/2012,5,18,2012,137,3,1,20:33,1:50,3,9,189,0.00500726,EPFU,L,0,3,0.8
3,3,H,5/17/2012,5,17,2012,136,3,1,20:45,1:30,3,3,518.4,0,EPFU,L,0,3,0.8
4,4,B,5/29/2012,5,29,2012,148,3,1,20:50,2:02,3,8,144,0.00400641,EPFU,L,1,3,0.8
5,5,C,5/30/2012,5,30,2012,149,3,1,20:45,1:35,3,8,144,0.00718391,EPFU,L,2,3,0.8
6,6,F,6/5/2012,6,5,2012,154,3,1,21:04,1:10,4,2,198,0,EPFU,L,0,3,0.8
7,7,E,6/3/2012,6,3,2012,152,3,1,20:52,2:00,3,27,486,0.005210842,EPFU,L,1,3,0.8
8,8,D,6/4/2012,6,4,2012,153,3,1,21:00,1:30,3,2,144,0,EPFU,L,0,3,0.8
9,9,I,6/10/2012,6,10,2012,159,3,1,21:15,1:10,5,2,180,0.00283688,EPFU,L,0,3,0.8
10,10,J,6/6/2012,6,6,2012,155,3,1,21:12,1:00,4,5,198,0.0066454,EPFU,L,4,3,0.8
11,14,F,6/18/2012,6,18,2012,167,3,2,21:15,1:30,4,10,216,0.00653595,EPFU,L,0,3,0.8
12,15,D,6/19/2012,6,19,2012,168,3,2,21:15,2:00,4,15,225,0.004678365,EPFU,L,1,3,0.8
13,16,H,6/26/2012,6,26,2012,175,3,2,21:00,2:00,5,16,162,0.011111112,EPFU,L,4,3,0.8
14,17,E,7/1/2012,7,1,2012,180,3,2,21:19,2:04,3,49,162,0.03638726,EPFU,L,7,3,0.8
15,18,A,7/2/2012,7,2,2012,181,3,2,21:20,2:00,3,20,162,0.009259257,EPFU,L,1,3,0.8
16,19,C,7/3/2012,7,3,2012,182,3,2,21:15,1:10,3,14,189,0.01350895,EPFU,L,0,3,0.8
17,21,K,7/4/2012,7,4,2012,183,3,2,21:20,2:00,4,36,171,0.038847123,EPFU,L,14,3,0.8
18,22,I,7/9/2012,7,9,2012,188,3,2,21:20,2:00,4,17,216,0.011904756,EPFU,L,1,3,0.8
19,28,B,7/12/2012,7,12,2012,191,3,2,21:25,2:00,3,6,171,0.002551834,EPFU,L,0,3,0.8
20,29,I,7/17/2012,7,17,2012,196,3,3,21:10,1:54,4,10,216,0.007824728,EPFU,L,0,3,0.8
21,31,J,7/11/2012,7,11,2012,190,3,2,21:15,1:55,4,5,225,0.003809524,EPFU,L,0,3,0.8
22,32,H,7/15/2012,7,15,2012,194,3,3,21:02,2:00,5,22,162,0.019885664,EPFU,L,0,3,0.8
23,33,K,7/16/2012,7,16,2012,195,3,3,21:15,2:05,4,30,198,0.024033436,EPFU,L,2,3,0.8
24,37,A,7/23/2012,7,23,2012,202,3,3,21:15,2:00,3,13,162,0.00779727,EPFU,L,0,3,0.8
25,38,C,7/24/2012,7,24,2012,203,3,3,21:10,2:00,3,9,189,0.002189382,EPFU,L,0,3,0.8
26,40,J,7/26/2012,7,26,2012,205,3,3,21:15,2:00,4,8,169.8,0.007439094,EPFU,L,0,3,0.8
27,41,B,7/29/2012,7,29,2012,208,3,3,21:00,1:35,3,2,162,0,EPFU,L,0,3,0.8
28,42,D,7/30/2012,7,30,2012,209,3,3,20:50,2:00,4,11,216,0.002688171,EPFU,L,0,3,0.8
29,43,F,7/31/2012,7,31,2012,210,3,3,21:00,1:35,4,6,216,0.003030303,EPFU,L,0,3,0.8
30,44,E,8/1/2012,8,1,2012,210,3,3,20:50,2:00,3,30,162,0.016726402,EPFU,L,0,3,0.8
31,45,J,5/18/2013,5,18,2013,137,3,1,21:24,2:05,2,1,108,0.001977066,EPFU,L,0,3,0.95
32,46,K,5/20/2013,5,20,2013,139,3,1,21:05,2:00,2,2,90,0.004519774,EPFU,L,0,3,0.95
33,47,I,5/18/2013,5,18,2013,137,3,1,21:00,2:00,3,0,180,0,EPFU,L,0,3,0.95
34,50,F,5/22/2013,5,22,2013,141,3,1,21:15,2:00,3,0,198,0,EPFU,L,0,3,0.95
35,52,E,5/28/2013,5,28,2013,147,3,1,21:12,2:00,3,17,144,0.008680554,EPFU,L,0,3,0.95
36,53,A,5/29/2013,5,29,2013,148,3,1,21:08,2:00,1,5,108,0.00951294,EPFU,L,0,3,0.95
37,54,B,5/31/2013,5,31,2013,150,3,1,21:00,1:00,1,1,108,0,EPFU,L,0,3,0.95
38,55,C,6/2/2013,6,2,2013,151,3,1,21:30,0:44,1,0,108,0,EPFU,L,0,3,0.95
39,56,D,6/5/2013,6,5,2013,154,3,1,21:18,2:00,3,3,162,0.00131337,EPFU,L,0,3,0.95
40,61,H,6/11/2013,6,11,2013,160,3,1,21:25,2:00,2,5,162,0.006734005,EPFU,L,0,3,0.95
41,62,B,6/19/2013,6,19,2013,168,3,2,21:15,2:00,1,1,108,0.001949318,EPFU,L,1,3,0.95
42,63,K,6/20/2013,6,20,2013,169,3,2,21:30,2:00,2,4,72,0.01234568,EPFU,L,3,3,0.95
43,64,C,6/24/2013,6,24,2013,173,3,2,21:20,2:00,4,2,162,0,EPFU,L,0,3,0.95
44,65,A,6/24/2013,6,24,2013,173,3,2,21:40,2:00,1,6,108,0.004273504,EPFU,L,1,3,0.95
45,68,I,7/7/2013,7,7,2013,186,3,2,21:29,2:00,2,4,162,0.00410004,EPFU,L,0,3,0.95
46,69,J,7/7/2013,7,7,2013,186,3,2,21:21,2:00,2,4,108,0.007964956,EPFU,L,2,3,0.95
47,70,D,7/8/2013,7,8,2013,187,3,2,21:20,2:00,2,3,135,0.003174604,EPFU,L,2,3,0.95
48,71,E,7/8/2013,7,8,2013,187,3,2,21:20,2:00,2,19,108,0.025793651,EPFU,L,5,3,0.95
49,72,F,7/10/2013,7,10,2013,189,3,2,21:21,2:00,2,9,162,0.003982476,EPFU,L,1,3,0.95
50,73,H,7/11/2013,7,11,2013,190,3,2,21:18,2:00,2,4,108,0.00394011,EPFU,L,0,3,0.95
51,74,A,7/17/2013,7,17,2013,196,3,3,21:00,2:00,3,17,142.5,0.015438599,EPFU,L,1,3,0.95
52,75,C,7/19/2013,7,19,2013,198,3,3,21:00,2:00,3,13,180,0.007777777,EPFU,L,0,3,0.95
53,77,B,7/22/2013,7,22,2013,201,3,3,21:10,2:00,3,4,162,0.002554278,EPFU,L,0,3,0.95
54,79,K,7/23/2013,7,23,2013,202,3,3,21:00,2:00,2,1,90,0,EPFU,L,0,3,0.95
55,80,H,7/29/2013,7,29,2013,208,3,3,20:45,2:00,2,3,108,0.001763668,EPFU,L,0,3,0.95
56,81,E,7/31/2013,7,31,2013,210,3,3,21:06,2:10,2,32,126,0.025062656,EPFU,L,0,3,0.95
57,82,D,7/31/2013,7,31,2013,210,3,3,21:00,2:00,3,4,162,0.002469136,EPFU,L,0,3,0.95
58,83,F,8/1/2013,8,1,2013,210,3,3,21:00,2:00,2,12,180,0.002222222,EPFU,L,0,3,0.95
59,86,I,8/4/2013,8,4,2013,213,3,3,21:00,2:00,2,3,126,0.003174604,EPFU,L,0,3,0.95
60,87,J,8/4/2013,8,4,2013,213,3,3,21:00,2:00,3,0,108,0,EPFU,L,0,3,0.95
96,156,J,5/15/2002,5,15,2002,134,1,1,20:00,1:05,2,1,108,0,EPFU,L,0,1,0
97,158,B,5/22/2002,5,22,2002,141,1,1,20:00,1:15,3,6,117,0.00814001,EPFU,L,0,1,0
98,159,F,5/23/2002,5,23,2002,142,1,1,20:00,0:00,NA,2,108,0.002314815,EPFU,L,0,1,0
99,160,D1,5/27/2002,5,27,2002,146,1,1,19:45,22:40,NA,3,135,0.005079366,EPFU,L,0,1,0
100,161,E,5/29/2002,5,29,2002,148,1,1,19:35,0:35,NA,11,135,0.004444443,EPFU,L,0,1,0
101,162,H,6/3/2002,6,3,2002,152,1,1,20:00,2:10,NA,13,108,0.013513518,EPFU,L,0,1,0
102,163,K,6/6/2002,6,6,2002,155,1,1,20:00,0:30,NA,1,135,0.001646091,EPFU,L,0,1,0
103,164,G,6/7/2002,6,7,2002,156,1,1,20:20,0:30,NA,1,135,0.001777778,EPFU,L,0,1,0
104,167,C,6/12/2002,6,12,2002,161,1,1,20:25,0:30,NA,5,117,0.00418629,EPFU,L,1,1,0
105,168,K,6/22/2002,6,22,2002,171,1,2,20:00,1:20,NA,8,135,0.006944445,EPFU,L,2,1,0
106,169,J,6/22/2002,6,22,2002,171,1,2,20:05,0:30,2,8,108,0.016771488,EPFU,L,6,1,0
107,170,H,6/23/2002,6,23,2002,172,1,2,19:55,0:30,NA,7,108,0.012121212,EPFU,L,3,1,0
108,171,G,6/23/2002,6,23,2002,172,1,2,20:00,0:30,NA,1,135,0.001646091,EPFU,L,1,1,0
109,172,E,6/24/2002,6,24,2002,173,1,2,19:50,0:30,NA,19,135,0.020634926,EPFU,L,12,1,0
110,173,F,6/24/2002,6,24,2002,173,1,2,20:00,0:30,NA,1,108,0.002057613,EPFU,L,1,1,0
111,178,C,6/29/2002,6,29,2002,178,1,2,20:03,0:30,NA,4,117,0.005762028,EPFU,L,0,1,0
112,179,D1,6/30/2002,6,30,2002,179,1,2,20:00,0:53,NA,4,135,0.004550625,EPFU,L,1,1,0
113,180,A,7/7/2002,7,7,2002,186,1,2,20:15,2:00,NA,8,108,0.001610306,EPFU,L,0,1,0
114,181,B,7/14/2002,7,14,2002,193,1,2,20:15,0:35,NA,12,117,0.011834322,EPFU,L,1,1,0
115,182,K,7/15/2002,7,15,2002,194,1,3,20:20,0:30,NA,2,135,0.001777778,EPFU,L,1,1,0
116,183,G,7/16/2002,7,16,2002,195,1,3,20:00,0:30,NA,3,135,0.001646091,EPFU,L,0,1,0
117,184,H,7/18/2002,7,18,2002,197,1,3,20:05,1:00,NA,2,108,0.003766478,EPFU,L,1,1,0
118,185,F,7/18/2002,7,18,2002,197,1,3,20:20,1:00,NA,4,108,0.001984127,EPFU,L,0,1,0
119,186,C,7/19/2002,7,19,2002,198,1,3,20:20,0:30,NA,8,117,0.012307692,EPFU,L,0,1,0
120,187,D1,7/19/2002,7,19,2002,198,1,3,20:15,1:20,NA,7,135,0.004371585,EPFU,L,0,1,0
121,188,A,7/30/2002,7,30,2002,209,1,3,20:30,2:00,NA,3,108,0,EPFU,L,0,1,0
122,189,B,7/30/2002,7,30,2002,209,1,3,20:15,2:00,NA,12,117,0.01486436,EPFU,L,0,1,0
123,190,E,7/30/2002,7,30,2002,209,1,3,20:00,2:00,NA,15,135,0.009876544,EPFU,L,0,1,0
124,192,K,5/15/2003,5,15,2003,134,1,1,19:45,0:30,2,2,135,0.001559454,EPFU,L,0,1,0
